start,end,Fecha,Sede,Genero,Edad,Notas,tecnica_grupo,Tecnica,Descripción,Tecnica_lengua,Lengua,Lengua_nota,Estado,Municipio,Localidad,Manufactura,Mano,Pedal,Telar,Mixta,Otra,Tejido,Telar_pedal,Manufactura_especifique,Tenido,Tipo_tenido,Plantas,Minerales,Animales,Otro,Tenido_especifique,Temporalidad,Historia,Materiales,Aprendizaje,Madre,Abuela,Tia,Hermana,Cunada,Instructora,Aprendi_otro,Padre,Aprendizaje_especifique,Ensenanza,No_ensenado,Hijas,Nietos,Sobrinos,Pareja,Estudiantes,Enseno_otra,Hijos,Ensenar_especifique,pr1,pr8,pr2,pr4,pr10,pr9,pr3,pr5,pr7,pr6,c6,cm7,c3,cm3,c7,cm5,c4,cm4,c1,cm1,c2,cm2,c8,cm8,c5,cm6,Significado,S1,S2,S3,S4,S5,pic,video,index,concat_id,_index
15/10/2025,15/10/2025,15/10/2025,Mérida,mujer,63,,Bordado a máquina,Macizo,,,Maya Yucateco,,Yucatán,Oxkutzcab,,se_realiza_a_m_quina_de_pedal,0,1,0,0,0,0,0,,No,,0,0,0,0,,es_una_t_cnica_antigua,,Tela hilos para bordar marca iris,de_una_maestra_o_instructora,0,0,0,0,0,1,0,0,,s__a_mis_hijas_o_hijos,0,1,0,0,0,0,0,0,,Huipil,Blusa,,,,,,,,,Para boda,,15 años,,,,,,,,,,,,,,No,A las flores d xayil,,,,,,,010,010-Mérida,8
15/10/2025,15/10/2025,15/10/2025,Mérida,mujer,37,,Bordado a mano,Cadeneta o cadenilla,,,Maya Yucateco,,Yucatán,Oxkutzcab,,se_realiza_a_mano se_realiza_a_m_quina_de_pedal,1,1,0,0,0,0,0,,No,,0,0,0,0,,es_una_t_cnica_antigua,Las puntadas a mano lo hacían y usaban los mayas.,"Máquina de bordar, tela blanca o de color, hilo iris para bordar, aro e hilera. A mano tela, tela, aro, aguja, hilo lino o estambres",madre abuela,1,1,0,0,0,0,0,0,,s__a_estudiantes,0,0,0,0,0,1,0,0,,Huipiles,Blusas,Ternos,Servilletas / tortilleros,Manteles,Estandartes,Fundas de almohada,Sobrecama,,,Ceremonias religiosa,,Ceremonias culturales,,Ceremonias tradicionales,,Rituales,,,,,,,,,,No,,,,,,https://kc.kobotoolbox.org/media/original?media_file=unescomx%2Fattachments%2F218b423bdd044378b9a7377d784ae06f%2Fa694594f-c700-40e0-8d34-12fd6c19c80f%2FIMG-20250312-WA0027-14_57_56.jpeg,,011,011-Mérida,9
15/10/2025,15/10/2025,15/10/2025,Mérida,mujer,39,,Bordado a mano,Punto de Cruz,,Bordado tseltal,Tseltal,,Chiapas,Yajalón,,se_realiza_a_mano,1,0,0,0,0,0,0,,No,,0,0,0,0,,es_una_t_cnica_antigua,"Se plasman flores principalmente con colores muy vivos, como muestra de nuestra naturaleza y conexión con la vida y la madre tierra, las plantas y animales también son parte de la cosmovisión de nuestros bordados.","Tela Cuadrille, Manta cruda, hilos de acrilan en tres hebras y aguja normal.",madre,1,0,0,0,0,0,0,0,,s__a_mis_hijas_o_hijos si__a_otra_persona,0,1,0,0,0,0,1,0,Compañeras del municipio.,En la camisa tradicional,Manteles,Servilletas,Bolsas,Accesorios de bisutería,Camisas de caballero,Vestidos,Cuadros decorativos.,Ropa de cama.,,Eventos patronales.,Manteles,Bodas.,"Servilletas, caminos de mesas, entre otros recuerdos.",Peregrinaciones,Traje regional.,,,,,,,,,,,Sí,"Representa nuestro entorno, naturaleza.",Deidad,Estaciones del año.,Puntos cardinales.,Animales,https://kc.kobotoolbox.org/media/original?media_file=unescomx%2Fattachments%2F218b423bdd044378b9a7377d784ae06f%2F5925f5b2-fb50-4842-ab80-f288fc394e8b%2F20250109_085832-15_2_52.heic,,012,012-Mérida,10
15/10/2025,15/10/2025,15/10/2025,Mérida,mujer,22,,Bordado a mano,Rectas,,Luk,Tseltal,,Chiapas,Amatenango del Valle,Amatenango del Valle,se_realiza_a_mano,1,0,0,0,0,0,0,,No,,0,0,0,0,,es_una_t_cnica_antigua,"Los ancestros cuentan que las líneas rojas significa la sangre del humano, las líneas amarillas significan y depende de las líneas los colores bajan","Hilos cera, hilo, tela",madre,1,0,0,0,0,0,0,0,,no_la_he_ense_ado,1,0,0,0,0,0,0,0,,Faldas,Mandiles,Blusas tradicionales,Blusas artesanales,,,,,,,Bodas,Conjunto de blusa y falda,,,,,,,,,,,,,,,Sí,Color rojo represente la sangre,,,,,,,013,013-Mérida,12
15/10/2025,15/10/2025,15/10/2025,Mérida,mujer,26,,Telar de cintura,Telar de cintura,,J'nöm,Amuzgo,,Guerrero,Xochistlahuaca,,otra,0,0,1,0,0,0,0,,Sí,te_ido_con_plantas__ejem__muicle__peric_,1,0,0,0,,es_una_t_cnica_antigua,"El tinte se obtiene atravez de las hojas de  la corteza ,raices ,flores ,frutos de los árboles silvestres qué. Hay en la zona o en el territorio.","Hojas,frutas y algodón natural en sus 3 variedades verde ,blanco y coyuchi",madre,1,0,0,0,0,0,0,0,,si__a_otra_persona,0,0,0,0,0,0,1,0,Compañeros,Huipiles,,,,,,,,,,Boda,Reunión o asamblea,Festividades y tradiciones,,,,,,,,,,,,,,Sí,Representa el conocimiento milenario,Nuestra cultura y biodiversidad,,,,,,014,014-Mérida,15
15/10/2025,15/10/2025,15/10/2025,Mérida,mujer,61,Bordado pepenado hilvan,Bordado a mano,Pepenado,,Ñhañhu,Otomí,Otomi,Hidalgo,Cardonal,La vega,se_realiza_a_mano,1,0,0,0,0,0,0,,No,,0,0,0,0,,es_una_t_cnica_antigua,Es generacional,Tela para bordar manta lino cambray cuadrille,abuela,0,1,0,0,0,0,0,0,,si__a_otra_persona,0,0,0,0,0,0,1,0,Clases anuevas generaciones,Rebosos,Servilletas,Tortilleros,Aretes,Traje típico de la region,Camisas,,,,,Religion,,Eventos especiales en las comunidades,,,,,,,,,,,,,,Sí,Representa la flor y canto del valle de mezquital,,,,,https://kc.kobotoolbox.org/media/original?media_file=unescomx%2Fattachments%2F218b423bdd044378b9a7377d784ae06f%2F43b0aee7-6932-4349-a986-def5e2b368bd%2F17605627669385242158321186055267-15_13_0.jpg,,015,015-Mérida,16
15/10/2025,15/10/2025,15/10/2025,Mérida,mujer,61,Bordado pepenado hilvan,Bordado a mano,Hilván,,Ñhañhu,Otomí,Otomi,Hidalgo,Cardonal,La vega,se_realiza_a_mano,1,0,0,0,0,0,0,,No,,0,0,0,0,,es_una_t_cnica_antigua,Es generacional,Tela para bordar manta lino cambray cuadrille,abuela,0,1,0,0,0,0,0,0,,si__a_otra_persona,0,0,0,0,0,0,1,0,Clases anuevas generaciones,Rebosos,Servilletas,Tortilleros,Aretes,Traje típico de la region,Camisas,,,,,Religion,,Eventos especiales en las comunidades,,,,,,,,,,,,,,Sí,Representa la flor y canto del valle de mezquital,,,,,https://kc.kobotoolbox.org/media/original?media_file=unescomx%2Fattachments%2F218b423bdd044378b9a7377d784ae06f%2F43b0aee7-6932-4349-a986-def5e2b368bd%2F17605627669385242158321186055267-15_13_0.jpg,,016,016-Mérida,16
28/11/2025,28/11/2025,28/11/2025,CDMX,mujer,52,,,Punto de Cruz,Bordado punto de cruz,Tlaxinepali,K'iche',,Veracruz de Ignacio de la Llave,Benito Juárez,,se_realiza_a_mano,1,0,0,0,0,0,0,,No,,0,0,0,0,,es_una_t_cnica_antigua,,,madre,1,0,0,0,0,0,0,0,,s__a_mis_hijas_o_hijos,0,1,0,0,0,0,0,0,,Blusas,Bolsas,Batas,Vestidos,,,,,,,,,,,,,,,,,,,,,,,Sí,,,,,,,,139,139-CDMX,128
15/10/2025,15/10/2025,15/10/2025,Mérida,hombre,21,,Bordado a máquina,Cadeneta o cadenilla,,Jatsëë cadenillë,Mixe,,Oaxaca,San Juan Guichicovi,,se_realiza_a_m_quina_de_pedal,0,1,0,0,0,0,0,,No,,0,0,0,0,,es_una_t_cnica_antigua,"Su origen data de la revolución industrial mediante la invención de la máquina de pedal, principalmente ocupada para cerrar costales de materiales refinados (azúcar, sal harina, etc).","Telas (de distintas texturas) , hilos (principalmente seda) (algodón en ocasiones)",t_a,0,0,1,0,0,0,0,0,,si__a_otra_persona,0,0,0,0,0,0,1,0,A mí hermano y a una amiga.,Enredo tradicional (rojo y morado),Huipil tradicional (del enredo),Huipiles de 3 cadenillas (de baraja de greca etc),Huipiles de un un golpe lleno,Huipiles sencillos (rejitas) (líneas),"Huipil de 3 filas (en medio flor) flor de cuatro pétalos, flor de manita (ahora maguey)  de margaritas y más",Tiras de cadenilla (para aplicación de camisas),Trajes del istmo de Tehuantepec,Playeras con cadenilla (nueva adaptada),,Enredo tradicional y huipil (fiestas patronales o de carácter religioso),"Enredo tradicional y huipil (fechas conmemorativas, día de la lengua materna)",Los huipiles de tres cadenillas o de un golpe se usan también en eventos especiales,Los huipiles sencillos en casa o del diario,Las camisas con aplicado de tiras (guayaberas) en bodas o fiestas,Los trajes del istmo se ocupan en bodas,,,,,,,,,,,Sí,"Los huipiles de flores (los cuatro pétalos), son representación de las flores que se dan en nuestro pueblo",Las figuras solo representan la geometrías,Los huipiles de manita (ahora maguey) significado de las manos que crean las piezas artesanales,"Los dibujos de cadenilla representan las cosas cotidianas del pueblo : moneda, rosita, estrella, etc.",,https://kc.kobotoolbox.org/media/original?media_file=unescomx%2Fattachments%2F218b423bdd044378b9a7377d784ae06f%2Fbe453e84-9250-4acd-a1c4-63ab880c2560%2FIMG_20251015_150545_574-14_6_48.webp,https://kc.kobotoolbox.org/media/original?media_file=unescomx%2Fattachments%2F218b423bdd044378b9a7377d784ae06f%2Fbe453e84-9250-4acd-a1c4-63ab880c2560%2FVID-20251015-WA0024-14_10_41.mp4,018,018-Mérida,18
15/10/2025,15/10/2025,15/10/2025,Mérida,mujer,37,,Bordado a mano,Cadeneta o cadenilla,,Jatsee cadenillee,,,Oaxaca,San Juan Guichicovi,"El Chocolate Guichicovi, Oaxaca.",se_realiza_a_mano se_realiza_a_m_quina_de_pedal,1,1,0,0,0,0,0,,No,,0,0,0,0,,es_una_t_cnica_antigua,"La técnica de la cadenilla con máquina de pedal cuentan las abuelas que llego hace mucho tiempo a esta comunidad y les enseñaron gente de fuera para coser costales y con el paso del tiempo se empezó a utilizar para realizar huipiles, blusas, Trajes regionales, Camisas","Una maquina de cadenilla de pedal,telas,hilos,y aguja capotera",t_a,0,0,1,0,0,0,0,0,,s__a_mis_hijas_o_hijos s__a_mis_sobrinas_o_sobrinos,0,1,0,1,0,0,0,0,,Enrredo rojo y morado de telar,Huipilon rojo y morado de telar,"Huipil de tres cadenillas( barajas ,dibujos,grecas)",Huipil de un golpe de diferentes dibujos,"Huipiles de tres filas y la de en medio es de flores ya sea flor de manita, margarita, rosas",Regitas de diferentes diseños y combinaciones,Trajes regionales,"Aplicaciones para guayabera , playeras, camisas y vestidos",Aplicaciones de pecheras,,El enrredo con el huipilon en fiestas patronales o eventos culturales,,Trajes regionales en eventos religiosos y fiestas patronales,,,,,,,,,,,,,,No,La agricultura,La naturaleza,El entorno social,Las figuras geométricas,,https://kc.kobotoolbox.org/media/original?media_file=unescomx%2Fattachments%2F218b423bdd044378b9a7377d784ae06f%2F9ecfcb00-4c0e-44a9-95c7-0df9163921c8%2F20251015_150611-15_6_25.jpg,https://kc.kobotoolbox.org/media/original?media_file=unescomx%2Fattachments%2F218b423bdd044378b9a7377d784ae06f%2F9ecfcb00-4c0e-44a9-95c7-0df9163921c8%2FVID-20240826-WA0061-15_2_20.mp4,019,019-Mérida,19
15/10/2025,15/10/2025,15/10/2025,Mérida,hombre,36,,Telar de cintura,Telar de cintura,,Jalbil ta jalamtehil,Tsotsil,,Chiapas,Larráinzar,,otra,0,0,1,0,0,0,0,,Sí,te_ido_con_plantas__ejem__muicle__peric_,1,0,0,0,,es_una_t_cnica_antigua,Es iconografia ancestral simetrías de los puntos cardinales,Hilos de algodón,abuela,0,1,0,0,0,0,0,0,,s__a_mis_sobrinas_o_sobrinos,0,0,0,1,0,0,0,0,,"Huipil, caminos de mesa , fundas de cojin",,,,,,,,,,"Eventos culturales, bodas",,,,,,,,,,,,,,,,Sí,Rumbos puntos cardinales,,,,,https://kc.kobotoolbox.org/media/original?media_file=unescomx%2Fattachments%2F218b423bdd044378b9a7377d784ae06f%2F06fa2440-59a9-4ef5-95cf-05726f8a45f5%2F17605629779115090056370852152240-15_16_52.jpg,,020,020-Mérida,20
15/10/2025,15/10/2025,15/10/2025,Mérida,mujer,33,,Bordado a mano,Punto de Cruz,,Xoók Chuy doble,Maya Yucateco,,Yucatán,Hoctún,,,0,0,0,0,0,0,0,,No,,0,0,0,0,,es_una_t_cnica_antigua,Qué está en peligro de extinción,"Tela, hilos de estambre, aguja de mano, caneva maya, tijera",madre,1,0,0,0,0,0,0,0,,s__a_mis_sobrinas_o_sobrinos,0,0,0,1,0,0,0,0,,Ternos,Huipiles,Blusas,Mantel,Guayabera,Vestidos largos,,,,,Religiosa,,Culturales,,,,,,,,,,,,,,Sí,"La víbora, se cree que acariciando la vivora paredes mas",,,,,,,021,021-Mérida,21
15/10/2025,15/10/2025,15/10/2025,Mérida,mujer,60,,Bordado a mano,Jun,,Jun,Totonaco,,Veracruz de Ignacio de la Llave,Papantla de Olarte,Del tajin,se_realiza_a_mano,1,0,0,0,0,0,0,,No,,0,0,0,0,,es_una_t_cnica_antigua,,Hilo de algodón y manta,madre,1,0,0,0,0,0,0,0,,s__a_mis_hijas_o_hijos si__a_otra_persona,0,1,0,0,0,0,1,0,Familiares,Blusa tipica,,,,,,,,,,Corona de espinas,,,,,,,,,,,,,,,,No,,,,,,https://kc.kobotoolbox.org/media/original?media_file=unescomx%2Fattachments%2F218b423bdd044378b9a7377d784ae06f%2Fcdaa845f-f6d0-4b0b-87c0-20d1ea863cff%2F20251015_152208-15_22_24.jpg,,022,022-Mérida,22
15/10/2025,15/10/2025,15/10/2025,Mérida,mujer,54,,Bordado a mano,Bordado Mazahua,,Bordadomazhahual,Náhuatl,,México,,,se_realiza_a_mano,1,0,0,0,0,0,0,,Sí,te_ido_con_plantas__ejem__muicle__peric_,1,0,0,0,,es_una_t_cnica_antigua,Herencia,Hilo y aguja,madre abuela,1,1,0,0,0,0,0,0,,s__a_mis_hijas_o_hijos s__a_mis_nietas_o_nietos,0,1,1,0,0,0,0,0,,Camisas,Vestidos,Reboso,Pulceras,Cojines,Porta vasos,Manteles,Blusas,Camisas de niño,,Vestidos,,Aretes,,Áretes,,,,Vestidos de boda,,Camisas,,,,,,Sí,Herencia,Tradicion,,,,https://kc.kobotoolbox.org/media/original?media_file=unescomx%2Fattachments%2F218b423bdd044378b9a7377d784ae06f%2F2b375491-bdb7-412e-85fb-dfdbe8f925cf%2F1000120292-15_22_38.jpg,,023,023-Mérida,23
15/10/2025,15/10/2025,15/10/2025,Mérida,mujer,49,Textiles de seda natural,Telar de cintura,Telar de cintura,,Yeed.,,Zapoteco de sierra norte de Oaxaca,Oaxaca,San Pedro Cajonos,san Pedro cajonos,se_realiza_a_mano,1,0,0,0,0,0,0,,Sí,te_ido_con_sales_y_minerales__ejem__alum te_ido_con_con_insectos_y_animales__ejem,0,1,1,0,,es_una_t_cnica_antigua,Que lo usaban en ceremonia de bodas,Todo en hilo de seda Natural,abuela,0,1,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,"Rebozo ,huipiles, enredos",,,,,,,024,024-Mérida,24
15/10/2025,15/10/2025,15/10/2025,Mérida,mujer,30,,Tejido a mano,Trenzado,,Yakbil,Tsotsil,,Chiapas,Zinacantán,Zinacantam,se_realiza_a_mano otra,1,0,1,0,0,0,0,,No,,0,0,0,0,,es_una_t_cnica_nueva,Trenza de la mujer chiapaneca,"Algodón, estambre, lana",madre,1,0,0,0,0,0,0,0,,si__a_otra_persona,0,0,0,0,0,0,1,0,Suegra,Blusas,Vestidos,Rebosos,,,,,,,,Uso personal,Blusas,Fiestas,Ropa,,,,,,,,,,,,,Sí,Trenza de la mujer,,,,,,,025,025-Mérida,27
15/10/2025,15/10/2025,15/10/2025,Mérida,mujer,27,,Bordado a mano,Luchbilltaaval,,Luch,Tsotsil,,Chiapas,,,se_realiza_a_mano otra,1,0,1,0,0,0,0,,No,,0,0,0,0,,es_una_t_cnica_antigua,"Es un bordado tradicional antestral que se ha venido manejando durante años, son bordados tradicionales","Tela, aguja, hilo, buen conteo de hebra en hebra de la tela",madre abuela,1,1,0,0,0,0,0,0,,s__a_mis_hijas_o_hijos s__a_mis_nietas_o_nietos s__a_mis_sobrinas_o_sobrinos s__a_una_pareja,0,1,1,1,1,0,0,0,,En la prenda principal del traje tradicional,,,,,,,,,,En todo momento,,,,,,,,,,,,,,,,Sí,Es una técnica ancestral,,,,,https://kc.kobotoolbox.org/media/original?media_file=unescomx%2Fattachments%2F218b423bdd044378b9a7377d784ae06f%2F84bc0d1c-d670-4ab7-ab71-72b03b917659%2FIMG_1445-15_24_22.jpeg,,026,026-Mérida,28
